operadores	beneficio	tiempo
ChangeSwapAdd	51.8	76.1874
ChangeSwapAdd	60.6	81.765
ChangeSwapAdd	52.900000000000006	83.1036
ChangeSwapAdd	59.9	71.3837
ChangeSwapAdd	64.8	71.7125
ChangeSwapAdd	68.7	79.3025
ChangeSwapAdd	55.39999999999999	74.0087
ChangeSwapAdd	47.2	76.2745
ChangeSwapAdd	48.4	78.092
ChangeSwapAdd	63.6	72.9897
ChangeSwapAdd	62.9	85.5978
ChangeSwapAdd	64.7	81.8005
ChangeSwapAdd	61.3	77.3863
ChangeSwapAdd	58.0	73.3786
ChangeSwapAdd	56.5	73.7501
ChangeSwapAdd	46.9	83.1121
ChangeSwapAdd	53.800000000000004	83.482
ChangeSwapAdd	45.0	86.7684
ChangeSwapAdd	47.6	78.1844
ChangeSwapAdd	45.1	74.4839
ChangeSwapAdd	78.4	80.1533
ChangeSwapAdd	49.7	73.4212
ChangeSwapAdd	47.2	81.5815
ChangeSwapAdd	66.5	80.268
ChangeSwapAdd	79.6	79.1649
ChangeSwapAdd	51.900000000000006	76.7988
ChangeSwapAdd	83.80000000000001	75.4746
ChangeSwapAdd	62.6	75.8959
ChangeSwapAdd	61.699999999999996	72.3857
ChangeSwapAdd	77.2	81.5134
ChangeSwapAdd	71.9	67.5971
ChangeSwapAdd	42.5	69.5533
ChangeSwapAdd	55.7	67.5262
ChangeSwapAdd	62.0	77.4342
ChangeSwapAdd	56.0	71.2352
ChangeSwapAdd	71.6	74.1153
ChangeSwapAdd	55.4	79.0361
ChangeSwapAdd	81.2	69.2722
ChangeSwapAdd	52.8	77.9692
ChangeSwapAdd	67.0	79.9457
ChangeSwapAdd	68.0	74.6928
ChangeSwapAdd	54.7	79.9615
ChangeSwapAdd	62.9	82.7439
ChangeSwapAdd	95.0	78.8359
ChangeSwapAdd	48.900000000000006	69.4578
ChangeSwapAdd	46.9	69.0539
ChangeSwapAdd	64.9	80.3327
ChangeSwapAdd	80.3	73.3512
ChangeSwapAdd	71.0	83.2459
ChangeSwapAdd	61.400000000000006	83.5112
ChangeSwapAdd	55.4	84.72
ChangeSwapAdd	54.3	74.0486
ChangeSwapAdd	57.8	73.3874
ChangeSwapAdd	67.1	83.1178
ChangeSwapAdd	40.9	77.5597
ChangeSwapAdd	37.6	78.53
ChangeSwapAdd	44.2	75.1981
ChangeSwapAdd	59.0	74.6646
ChangeSwapAdd	49.0	73.9238
ChangeSwapAdd	69.0	73.6467
ChangeSwapAdd	60.9	81.6009
ChangeSwapAdd	54.900000000000006	83.9752
ChangeSwapAdd	47.9	82.4547
ChangeSwapAdd	40.8	89.2366
ChangeSwapAdd	59.2	73.5704
ChangeSwapAdd	57.599999999999994	77.9651
ChangeSwapAdd	58.1	78.9071
ChangeSwapAdd	67.9	84.3596
ChangeSwapAdd	53.8	77.5859
ChangeSwapAdd	35.4	74.7701
ChangeSwapAdd	45.9	86.2663
ChangeSwapAdd	46.599999999999994	82.4661
ChangeSwapAdd	65.2	74.6984
ChangeSwapAdd	65.1	74.1218
ChangeSwapAdd	48.3	87.5062
ChangeSwapAdd	49.8	107.0203
ChangeSwapAdd	57.300000000000004	75.864
ChangeSwapAdd	66.3	76.2429
ChangeSwapAdd	55.1	81.5711
ChangeSwapAdd	63.5	76.171
ChangeSwapAdd	51.2	76.8414
ChangeSwapAdd	75.3	90.0013
ChangeSwapAdd	56.5	69.9773
ChangeSwapAdd	61.6	81.112
ChangeSwapAdd	45.3	82.603
ChangeSwapAdd	67.0	74.7056
ChangeSwapAdd	34.7	82.4609
ChangeSwapAdd	60.6	79.3326
ChangeSwapAdd	73.4	75.8088
ChangeSwapAdd	52.8	74.2258
ChangeSwapAdd	47.0	68.1061
ChangeSwapAdd	69.0	86.4163
ChangeSwapAdd	48.0	75.2895
ChangeSwapAdd	60.0	131.4335
ChangeSwapAdd	56.8	124.2079
ChangeSwapAdd	54.0	91.0256
ChangeSwapAdd	54.7	106.7522
ChangeSwapAdd	63.400000000000006	80.7715
ChangeSwapAdd	48.400000000000006	92.8889
ChangeSwapAdd	27.599999999999998	85.5123
ChangeSwapAdd	40.0	87.5646
ChangeSwapAdd	78.3	79.5683
ChangeSwapAdd	50.0	79.2432
ChangeSwapAdd	67.5	74.8726
ChangeSwapAdd	43.9	82.2303
ChangeSwapAdd	34.9	81.1202
ChangeSwapAdd	54.400000000000006	68.5294
ChangeSwapAdd	45.4	78.299
ChangeSwapAdd	48.3	85.6868
ChangeSwapAdd	66.8	81.6461
ChangeSwapAdd	65.3	86.3288
ChangeSwapAdd	55.9	85.6556
ChangeSwapAdd	40.8	75.4252
ChangeSwapAdd	57.7	79.8797
